author,name,year,genres,annotation,s3_link,local_link
Блок Александр Александрович,Автобиография,1915,"['Очерк', 'Мемуары', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0210.txt,../data/Блок Александр Александрович.Автобиография.1915.txt
Блок Александр Александрович,Автографы А. Блока в альманахе Чукоккала,1921,"['Очерк', 'Проза', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0420.txt,"../data/Блок Александр Александрович.Автографы А. Блока в альманахе ""Чукоккала"".1921.txt"
Блок Александр Александрович,Балаганчик,1906,"['Пьеса', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0100.txt,../data/Блок Александр Александрович.Балаганчик.1906.txt
Блок Александр Александрович,Безвременье,1906,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1906_bezvremenye.txt,../data/Блок Александр Александрович.Безвременье.1906.txt
Блок Александр Александрович,Блок-Менделеева Л. Д. Были и небылицы,1929,"['Книга очерков', 'Мемуары', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_02401.txt,../data/Блок Александр Александрович.Блок-Менделеева Л. Д. Были и небылицы.1929.txt
Блок Александр Александрович,Борис Зайцев. Побежденный,1925,"['Глава', 'Мемуары', 'Об авторе']",Три главы из книги,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0470.txt,../data/Блок Александр Александрович.Борис Зайцев. Побежденный.1925.txt
Блок Александр Александрович,В. Мейерхольд и Ю. Бонди. Алинур,1918,"['Статья', 'Критика', 'Театральная критика']",Сказка в 3-х действиях с прологом и эпилогом. Сюжет заимствован. Авторы предлагают детям играть сказку в приемах импровизации.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_v_meyerhold_u_bondi.txt,"../data/Блок Александр Александрович.В. Мейерхольд и Ю. Бонди. ""Алинур"".1918.txt"
Блок Александр Александрович,В. Н. Орлов. Гамаюн. Жизнь Александра Блока,1981,"['Очерк', 'Критика', 'Биографическая проза', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0430.txt,../data/Блок Александр Александрович.В. Н. Орлов. Гамаюн. Жизнь Александра Блока.1981.txt
Блок Александр Александрович,Вера Федоровна Коммиссаржевская,1910,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_vera_fedorovna_komissarjevskaya.txt,../data/Блок Александр Александрович.Вера Федоровна Коммиссаржевская.1910.txt
Блок Александр Александрович,Вечер памяти А. Блока,1921,"['Очерк', 'Публицистика', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1921_veher_pamyati.txt,../data/Блок Александр Александрович.Вечер памяти А. Блока.1921.txt
Блок Александр Александрович,Вечера искусств,1908,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1908_vechera_iskusstv.txt,"../data/Блок Александр Александрович.Вечера ""искусств"".1908.txt"
Блок Александр Александрович,Вл. Гайдаров. А. А. Блок,1961,"['Очерк', 'Мемуары', 'Об авторе']",Воспоминания знаменитого актера немого кино.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0400.txt,../data/Блок Александр Александрович.Вл. Гайдаров. А. А. Блок.1961.txt
Блок Александр Александрович,Владимир Соловьев и наши дни,1920,"['Очерк', 'Критика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0150.txt,../data/Блок Александр Александрович.Владимир Соловьев и наши дни.1920.txt
Блок Александр Александрович,Воззвание Репертуарной секции,1918,"['Статья', 'Публицистика', 'Публицистика']",(Библиотека драматических произведений всех времен и народов).,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_vozzvanie_repertuarnoy_sektzii.txt,../data/Блок Александр Александрович.Воззвание Репертуарной секции.1918.txt
Блок Александр Александрович,Возмездие,1921,"['Поэма', 'Поэзия', 'Поэмы']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0040.txt,../data/Блок Александр Александрович.Возмездие.1921.txt
Блок Александр Александрович,Вячеслав Иванов. Прозрачность. Вторая книга лирики,1904,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1904_ivanov_prozrachnost.txt,"../data/Блок Александр Александрович.Вячеслав Иванов. ""Прозрачность"". Вторая книга лирики.1904.txt"
Блок Александр Александрович,Горький о Мессине,1909,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1909_gorkiy_o_messine.txt,../data/Блок Александр Александрович.Горький о Мессине.1909.txt
Блок Александр Александрович,Дантон,1920,"['Очерк', 'История', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1920_danton.txt,../data/Блок Александр Александрович.Дантон.1920.txt
Блок Александр Александрович,Двенадцать,1918,"['Поэма', 'Поэзия', 'Поэмы', 'Иллюстрации/приложения: 8 штук.']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0020.txt,../data/Блок Александр Александрович.Двенадцать.1918.txt
Блок Александр Александрович,Девушка розовой калитки и муравьиный царь,1906,"['Рассказ', 'Проза', 'Проза']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1906_devushka.txt,../data/Блок Александр Александрович.Девушка розовой калитки и муравьиный царь.1906.txt
Блок Александр Александрович,Дитя Гоголя,1909,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1909_ditya_gogolya.txt,../data/Блок Александр Александрович.Дитя Гоголя.1909.txt
Блок Александр Александрович,"Дневник женщины, которую никто не любил",1918,"['Эссе', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_dnevnik_zhenshchiny.txt,"../data/Блок Александр Александрович.Дневник женщины, которую никто не любил.1918.txt"
Блок Александр Александрович,Драматический театр В. Ф. Коммиссаржевской,1910,"['Статья', 'Критика', 'Театральная критика']",(Письмо из Петербурга).,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_dram_teatr_kommissarjevskoy.txt,../data/Блок Александр Александрович.Драматический театр В. Ф. Коммиссаржевской.1910.txt
Блок Александр Александрович,Душа писателя,1909,"['Статья', 'Критика', 'Литературная критика']",(Заметки современника),https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1909_dusha_pisatelya.txt,../data/Блок Александр Александрович.Душа писателя.1909.txt
Блок Александр Александрович,"Записки Бертрана, написанные им за несколько часов до смерти",1913,"['Глава', 'Драматургия', 'Театр']","Приложение к пьесе ""Роза и крест"".",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0231.txt,"../data/Блок Александр Александрович.Записки Бертрана, написанные им за несколько часов до смерти.1913.txt"
Блок Александр Александрович,Из объяснительной записки для Художественного театра,1916,"['Очерк', 'Драматургия', 'Театр']","К пьесе ""Роза и крест"".",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0233.txt,../data/Блок Александр Александрович.Из объяснительной записки для Художественного театра.1916.txt
Блок Александр Александрович,Интеллигенция и Революция,1918,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_intelligentzia_i_revolutzia.txt,../data/Блок Александр Александрович.Интеллигенция и Революция.1918.txt
Блок Александр Александрович,Ирония,1908,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1908_ironia.txt,../data/Блок Александр Александрович.Ирония.1908.txt
Блок Александр Александрович,Искусство и Революция,1918,"['Статья', 'Публицистика', 'Публицистика']",(По поводу творения Рихарда Вагнера).,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_iskusstvo_i_revolutzia.txt,../data/Блок Александр Александрович.Искусство и Революция.1918.txt
Блок Александр Александрович,Искусство и газета,1912,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1912_iskustvo_i_gazeta.txt,../data/Блок Александр Александрович.Искусство и газета.1912.txt
Блок Александр Александрович,К Дионису Гиперборейскому,1906,"['Миниатюра', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0300.txt,../data/Блок Александр Александрович.К Дионису Гиперборейскому.1906.txt
Блок Александр Александрович,К постановке пьесы Рваный плащ,1919,"['Речь', 'Публицистика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_k_postanovke_piesy_rvaniy_plash.txt,"../data/Блок Александр Александрович.К постановке пьесы ""Рваный плащ"".1919.txt"
Блок Александр Александрович,Катилина,1918,"['Очерк', 'История', 'Публицистика', 'Публицистика']",Страница из истории мировой Революции.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_katilina.txt,../data/Блок Александр Александрович.Катилина.1918.txt
Блок Александр Александрович,Комитет по увековечению памяти Блока,1921,"['Очерк', 'Публицистика', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1921_komitet.txt,../data/Блок Александр Александрович.Комитет по увековечению памяти Блока.1921.txt
Блок Александр Александрович,Король на площади,1906,"['Пьеса', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0190.txt,../data/Блок Александр Александрович.Король на площади.1906.txt
Блок Александр Александрович,Корреспонденция Бальмонта из Мексики,1905,"['Стихотворение', 'Поэзия', 'Стихотворения']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1905_korrespondentziya.txt,../data/Блок Александр Александрович.Корреспонденция Бальмонта из Мексики.1905.txt
Блок Александр Александрович,Краски и слова,1905,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1905_kraski_i_slova.txt,../data/Блок Александр Александрович.Краски и слова.1905.txt
Блок Александр Александрович,Крушение гуманизма,1919,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_krushenie_gumanizma.txt,../data/Блок Александр Александрович.Крушение гуманизма.1919.txt
Блок Александр Александрович,Литературные итоги 1907 года,1907,"['Статья', 'Критика', 'Литературная критика']",В сокращении,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1907_literaturnye_itogi.txt,../data/Блок Александр Александрович.Литературные итоги 1907 года.1907.txt
Блок Александр Александрович,Мережковский,1912,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1912_merezhkovskiy.txt,../data/Блок Александр Александрович.Мережковский.1912.txt
Блок Александр Александрович,Михаил Александрович Бакунин,1906,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0480.txt,../data/Блок Александр Александрович.Михаил Александрович Бакунин.1906.txt
Блок Александр Александрович,Может ли интеллигенция работать с большевиками?,1918,"['Статья', 'Публицистика', 'Политика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_mozhet_li_intelligentzia.txt,../data/Блок Александр Александрович.Может ли интеллигенция работать с большевиками?.1918.txt
Блок Александр Александрович,Молнии искусства,1909,"['Очерк', 'Публицистика', 'Публицистика']",Итальянские впечатления.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1909_molnii_iskusstva.txt,../data/Блок Александр Александрович.Молнии искусства.1909.txt
Блок Александр Александрович,Народ и интеллигенция,1908,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1908_narod_i_intelligentzia.txt,../data/Блок Александр Александрович.Народ и интеллигенция.1908.txt
Блок Александр Александрович,Незнакомка,1906,"['Пьеса', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0210-1.txt,../data/Блок Александр Александрович.Незнакомка.1906.txt
Блок Александр Александрович,Непонимание или нежелание понять?,1912,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1912_neponimanie.txt,../data/Блок Александр Александрович.Непонимание или нежелание понять?.1912.txt
Блок Александр Александрович,"Ни сны, ни явь",1921,"['Рассказ', 'Проза', 'Проза']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1921_ni_sny_ni_yav.txt,"../data/Блок Александр Александрович.Ни сны, ни явь.1921.txt"
Блок Александр Александрович,О Голубой Птице Метерлинка,1920,"['Речь', 'Критика', 'Театральная критика']",Прочитано актерам БДТ 16 ноября 1920 г..,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1920_o_goluboy_ptitze_meterlinka.txt,"../data/Блок Александр Александрович.О ""Голубой Птице"" Метерлинка.1920.txt"
Блок Александр Александрович,О лирике,1907,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1907_o_lirike.txt,../data/Блок Александр Александрович.О лирике.1907.txt
Блок Александр Александрович,"О любви, поэзии и государственной службе",1906,"['Пьеса', 'Драматургия', 'Театр']",Диалог.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0200.txt,"../data/Блок Александр Александрович.О любви, поэзии и государственной службе.1906.txt"
Блок Александр Александрович,О назначении поэта,1921,"['Речь', 'Публицистика', 'Критика', 'Литературная критика']","Речь, произнесенная в Доме литераторов на торжественном собрании в 84-ю годовщину смерти Пушкина.",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1921_o_naznachenii_poeta.txt,../data/Блок Александр Александрович.О назначении поэта.1921.txt
Блок Александр Александрович,О праве литературного наследования,1918,"['Миниатюра', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_o_prave_lit_nasledovania.txt,../data/Блок Александр Александрович.О праве литературного наследования.1918.txt
Блок Александр Александрович,О репертуаре коммунальных и государственных театров,1918,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_o_repertuare_kommunalnyh_teatrov.txt,../data/Блок Александр Александрович.О репертуаре коммунальных и государственных театров.1918.txt
Блок Александр Александрович,О романтизме,1919,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_o_romantizme.txt,../data/Блок Александр Александрович.О романтизме.1919.txt
Блок Александр Александрович,О современной критике,1907,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1907_o_sovremennoy_kritike.txt,../data/Блок Александр Александрович.О современной критике.1907.txt
Блок Александр Александрович,О современном состоянии русского символизма,1910,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_o_sostoyanii_simvolizma.txt,../data/Блок Александр Александрович.О современном состоянии русского символизма.1910.txt
Блок Александр Александрович,О списке русских авторов,1919,"['Статья', 'Публицистика', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_o_spiske_russkih_avtorov.txt,../data/Блок Александр Александрович.О списке русских авторов.1919.txt
Блок Александр Александрович,О театре,1908,"['Статья', 'Публицистика', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1908_o_teatre.txt,../data/Блок Александр Александрович.О театре.1908.txt
Блок Александр Александрович,Об Исторических картинах,1919,"['Статья', 'Публицистика', 'Публицистика']","Отклик на статью М. Горького ""Инсценировка истории культуры"".",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_ob_istoricheskih_kartinah.txt,"../data/Блок Александр Александрович.Об ""Исторических картинах"".1919.txt"
Блок Александр Александрович,От Ибсена к Стриндбергу,1912,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1912_ot_ibsena_k_strindbergu.txt,../data/Блок Александр Александрович.От Ибсена к Стриндбергу.1912.txt
Блок Александр Александрович,Ответ Мережковскому,1910,"['Статья', 'Публицистика', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_otvet_merejkovskomu.txt,../data/Блок Александр Александрович.Ответ Мережковскому.1910.txt
Блок Александр Александрович,"Отзыв о поэтах: Георгий Иванов, Дмитрий Цензор",1919,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_otzyv_o_poetah.txt,"../data/Блок Александр Александрович.Отзыв о поэтах: Георгий Иванов, Дмитрий Цензор.1919.txt"
Блок Александр Александрович,Памяти Августа Стриндберга,1910,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_pamyati_avgusta_strindberga.txt,../data/Блок Александр Александрович.Памяти Августа Стриндберга.1910.txt
Блок Александр Александрович,Памяти Александра Блока,1921,"['Очерк', 'Публицистика', 'Об авторе']","Открытое заседание Вольной Философской Ассоциации. 28 августа 1921 г. Докладчики: Андрей Белый, Иванов-Разумник, Штейнберг.",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0222.txt,../data/Блок Александр Александрович.Памяти Александра Блока.1921.txt
Блок Александр Александрович,Памяти Врубеля,1910,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_pamyati_vrubelya.txt,../data/Блок Александр Александрович.Памяти Врубеля.1910.txt
Блок Александр Александрович,Памяти К. В. Бравича,1912,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1912_pamyati_bravicha.txt,../data/Блок Александр Александрович.Памяти К. В. Бравича.1912.txt
Блок Александр Александрович,Памяти Леонида Андреева,1919,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_pamyati_leonida_andreeva.txt,../data/Блок Александр Александрович.Памяти Леонида Андреева.1919.txt
Блок Александр Александрович,Педант о поэте,1905,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1905_pedant_o_poete.txt,../data/Блок Александр Александрович.Педант о поэте.1905.txt
Блок Александр Александрович,Переписка Александра Блока и Андрея Белого. 1903-1919,1919,"['Переписка', 'Эпистолярий', 'Дневники и переписка', 'Иллюстрации/приложения: 19 штук.']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_perepiska_block-belyj.txt,../data/Блок Александр Александрович.Переписка Александра Блока и Андрея Белого. 1903-1919.1919.txt
Блок Александр Александрович,Песня судьбы,1908,"['Пьеса', 'Драматургия', 'Театр']",Драматическая поэма.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0220-1.txt,../data/Блок Александр Александрович.Песня судьбы.1908.txt
Блок Александр Александрович,Петроградский священник. О Блоке,1931,"['Статья', 'Критика', 'О творчестве автора']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1931_o_bloke.txt,../data/Блок Александр Александрович.Петроградский священник. О Блоке.1931.txt
Блок Александр Александрович,Письма А. А. Ахматовой,1916,"['Переписка', 'Эпистолярий', 'Дневники и переписка']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1916_pisma_akhmatovoy.txt,../data/Блок Александр Александрович.Письма А. А. Ахматовой.1916.txt
Блок Александр Александрович,Письма Александра Блока Г. Чулкову,1910,"['Переписка', 'Эпистолярий', 'Дневники и переписка']",(Примечания Г. Чулкова).,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1910_pisma_blok-chulkov.txt,../data/Блок Александр Александрович.Письма Александра Блока Г. Чулкову.1910.txt
Блок Александр Александрович,Письмо о театре,1918,"['Статья', 'Публицистика', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_pismo_o_teatre.txt,../data/Блок Александр Александрович.Письмо о театре.1918.txt
Блок Александр Александрович,Пламень,1913,"['Статья', 'Критика', 'Литературная критика']","По поводу книги Пимена Карпова ""Пламень"" - из жизни и веры хлеборобов. СПБ., 1913.",https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1913_plamen.txt,../data/Блок Александр Александрович.Пламень.1913.txt
Блок Александр Александрович,Последние дни императорской власти,1921,"['Очерк', 'Публицистика', 'Публицистика']",По неизданным документам составил Александр Блок.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0160.txt,../data/Блок Александр Александрович.Последние дни императорской власти.1921.txt
Блок Александр Александрович,Поэзия заговоров и заклинаний,1906,"['Статья', 'Критика', 'Литературная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1906_poezia_zagovorov_i_zaklinaniy.txt,../data/Блок Александр Александрович.Поэзия заговоров и заклинаний.1906.txt
Блок Александр Александрович,Размышления о скудости нашего репертуара,1919,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_razmyshleniya_o_skudosti_nashego_repertuara.txt,../data/Блок Александр Александрович.Размышления о скудости нашего репертуара.1919.txt
Блок Александр Александрович,Рамзес,1919,"['Пьеса', 'Драматургия', 'Театр']",Сцены из жизни древнего Египта.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0241.txt,../data/Блок Александр Александрович.Рамзес.1919.txt
Блок Александр Александрович,Реликвии Александра Блока,1989,"['Статья', 'Публицистика', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0410.txt,../data/Блок Александр Александрович.Реликвии Александра Блока.1989.txt
Блок Александр Александрович,Речь на первом открытом вечере,1920,"['Речь', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1920_rech_na_pervom_otkrytom_vechere.txt,../data/Блок Александр Александрович.Речь на первом открытом вечере.1920.txt
Блок Александр Александрович,Роза и крест,1912,"['Пьеса', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0230-1.txt,../data/Блок Александр Александрович.Роза и крест.1912.txt
Блок Александр Александрович,Рукой Александра Блока...,1902,"['Очерк', 'Публицистика', 'О творчестве автора']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1902_rukoy_bloka.txt,../data/Блок Александр Александрович.Рукой Александра Блока....1902.txt
Блок Александр Александрович,Русские дэнди,1918,"['Очерк', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_russkie_dendi.txt,../data/Блок Александр Александрович.Русские дэнди.1918.txt
Блок Александр Александрович,Рыцарь-монах,1910,"['Статья', 'Мемуары', 'Публицистика']",О Владимире Соловьеве.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0142.txt,../data/Блок Александр Александрович.Рыцарь-монах.1910.txt
